"";"zoning";"coded_systemload";"loadunitcap";"throughput";"prediction";"low.bootstrap";"up.bootstrap";"low.analytical";"up.analytical"
3141;"FIFO";-0.972222222222222;5.18055555555556;6547.58744045126;6547.58744045126;6407;6690;6638.42399130892;6723.06436663113
3214;"FIFO";-0.972222222222222;5.27777777777778;6547.17931490776;6547.17931490776;6405;6686;6640.80310081663;6725.66862942511
3287;"FIFO";-0.972222222222222;5.375;6546.64979908144;6546.64979908144;6407;6686;6643.03055189043;6728.15098421221
3360;"FIFO";-0.972222222222222;5.47222222222222;6545.99892242988;6545.99892242988;6404;6688;6645.10452769752;6730.51295737221
3433;"FIFO";-0.972222222222222;5.56944444444445;6545.22672115991;6545.22672115991;6406;6688;6647.02303514941;6732.75626836686
3506;"FIFO";-0.972222222222222;5.66666666666667;6544.33323822427;6544.33323822427;6404;6688;6648.78391566353;6734.88281900625
3579;"FIFO";-0.972222222222222;5.76388888888889;6543.31852331761;6543.31852331761;6406;6687;6650.384857818;6736.89468082066
3652;"FIFO";-0.972222222222222;5.86111111111111;6542.18263287193;6542.18263287193;6403;6686;6651.82341200239;6738.79408043417
3725;"FIFO";-0.972222222222222;5.95833333333333;6540.9256300513;6540.9256300513;6402;6684;6653.09700712268;6740.58338288297
3798;"FIFO";-0.972222222222222;6.05555555555556;6539.54758474602;6539.54758474602;6400;6680;6654.20296935726;6742.26507288029
3871;"FIFO";-0.972222222222222;6.15277777777778;6538.04857356618;6538.04857356618;6397;6677;6655.13854288914;6743.84173410383
3944;"FIFO";-0.972222222222222;6.25;6536.42867983448;6536.42867983448;6393;6677;6655.90091245524;6745.31602666402
4017;"FIFO";-0.972222222222222;6.34722222222222;6534.68799357863;6534.68799357863;6393;6678;6656.48722746422;6746.69066300239
4090;"FIFO";-0.972222222222222;6.44444444444445;6532.82661152284;6532.82661152284;6391;6674;6656.89462734166;6747.96838256035
4163;"FIFO";-0.972222222222222;6.54166666666667;6530.84463707906;6530.84463707906;6386;6675;6657.12026767512;6749.15192564679
4236;"FIFO";-0.972222222222222;6.63888888888889;6528.74218033727;6528.74218033727;6385;6669;6657.1613466543;6750.24400700859
4309;"FIFO";-0.972222222222222;6.73611111111111;6526.51935805531;6526.51935805531;6382;6670;6657.0151312442;6751.24728966629
4382;"FIFO";-0.972222222222222;6.83333333333333;6524.17629364813;6524.17629364813;6381;6670;6656.67898249535;6752.16435961145
4455;"FIFO";-0.972222222222222;6.93055555555556;6521.7131171763;6521.7131171763;6375;6665;6656.15037938909;6752.99770196625
4528;"FIFO";-0.972222222222222;7.02777777777778;6519.12996533401;6519.12996533401;6379;6662;6655.42694064436;6753.74967918099
4601;"FIFO";-0.972222222222222;7.125;6516.42698143642;6516.42698143642;6372;6659;6654.50644396823;6754.422511785
4674;"FIFO";-0.972222222222222;7.22222222222222;6513.60431540645;6513.60431540645;6370;6657;6653.3868423212;6755.0182621219
4747;"FIFO";-0.972222222222222;7.31944444444445;6510.66212376085;6510.66212376085;6367;6654;6652.06627687661;6755.53882138837
4820;"FIFO";-0.972222222222222;7.41666666666667;6507.60056959577;6507.60056959577;6362;6653;6650.54308648037;6755.98590017118
4893;"FIFO";-0.972222222222222;7.51388888888889;6504.41982257171;6504.41982257171;6357;6648;6648.81581354924;6756.36102254383
4966;"FIFO";-0.972222222222222;7.61111111111111;6501.1200588978;6501.1200588978;6356;6645;6646.88320647646;6756.6655236541
5039;"FIFO";-0.972222222222222;7.70833333333333;6497.70146131559;6497.70146131559;6348;6647;6644.74421873305;6756.90055061399
5112;"FIFO";-0.972222222222222;7.80555555555556;6494.16421908216;6494.16421908216;6345;6644;6642.39800495526;6757.06706640216
5185;"FIFO";-0.972222222222222;7.90277777777778;6490.50852795261;6490.50852795261;6346;6634;6639.8439143869;6757.16585640925
5258;"FIFO";-0.972222222222222;8;6486.73459016212;6486.73459016212;6339;6633;6637.08148209984;6757.19753720368
3;"FIFO";-0.944444444444444;1;6458.96163563146;6458.96163563146;6316;6603;6394.84897465352;6509.58352297723
76;"FIFO";-0.944444444444444;1.09722222222222;6463.72391463101;6463.72391463101;6320;6607;6404.35471311718;6516.35425000568
149;"FIFO";-0.944444444444444;1.19444444444444;6468.36974100105;6468.36974100105;6326;6613;6413.67003304266;6523.06944895944
222;"FIFO";-0.944444444444444;1.29166666666667;6472.89885865692;6472.89885865692;6331;6616;6422.79446140476;6529.72862691927
295;"FIFO";-0.944444444444444;1.38888888888889;6477.3110178279;6477.3110178279;6336;6619;6431.72770176872;6536.33112845398
368;"FIFO";-0.944444444444444;1.48611111111111;6481.60597508027;6481.60597508027;6340;6628;6440.46964846985;6542.87612153663
441;"FIFO";-0.944444444444444;1.58333333333333;6485.78349333964;6485.78349333964;6345;6627;6449.02039920092;6549.3625850513
514;"FIFO";-0.944444444444444;1.68055555555556;6489.84334191281;6489.84334191281;6351;6632;6457.38026543764;6555.78929846075
587;"FIFO";-0.944444444444444;1.77777777777778;6493.78529650896;6493.78529650896;6356;6635;6465.54978014211;6562.15483419426
660;"FIFO";-0.944444444444444;1.875;6497.6091392603;6497.6091392603;6359;6640;6473.52970222886;6568.4575532721
733;"FIFO";-0.944444444444444;1.97222222222222;6501.31465874216;6501.31465874216;6363;6643;6481.32101735545;6574.69560460345
806;"FIFO";-0.944444444444444;2.06944444444444;6504.90164999248;6504.90164999248;6365;6645;6488.92493471303;6580.86692828342
879;"FIFO";-0.944444444444444;2.16666666666667;6508.36991453066;6508.36991453066;6370;6651;6496.3428796317;6586.96926307357
952;"FIFO";-0.944444444444444;2.26388888888889;6511.71926037595;6511.71926037595;6370;6651;6503.57648197694;6593.00015808995
1025;"FIFO";-0.944444444444444;2.36111111111111;6514.94950206502;6514.94950206502;6375;6659;6510.62756048332;6598.95698855263
1098;"FIFO";-0.944444444444444;2.45833333333333;6518.06046066922;6518.06046066922;6379;6660;6517.49810333851;6604.83697528318
1171;"FIFO";-0.944444444444444;2.55555555555556;6521.05196381105;6521.05196381105;6383;6663;6524.19024548226;6610.63720748584
1244;"FIFO";-0.944444444444444;2.65277777777778;6523.92384568003;6523.92384568003;6387;6665;6530.70624320895;6616.35466822385
1317;"FIFO";-0.944444444444444;2.75;6526.67594704805;6526.67594704805;6390;6666;6537.04844675078;6621.98626191312
1390;"FIFO";-0.944444444444444;2.84722222222222;6529.30811528415;6529.30811528415;6392;6670;6543.21927156668;6627.52884310922
1463;"FIFO";-0.944444444444444;2.94444444444444;6531.82020436849;6531.82020436849;6394;6669;6549.22116906736;6632.97924585652
1536;"FIFO";-0.944444444444444;3.04166666666667;6534.21207490598;6534.21207490598;6393;6676;6555.05659747316;6638.33431290281
1609;"FIFO";-0.944444444444444;3.13888888888889;6536.48359413909;6536.48359413909;6396;6679;6560.72799343507;6643.59092414959
1682;"FIFO";-0.944444444444444;3.23611111111111;6538.63463596018;6538.63463596018;6401;6677;6566.23774495597;6648.74602380015
1755;"FIFO";-0.944444444444444;3.33333333333333;6540.66508092314;6540.66508092314;6402;6682;6571.5881660419;6653.79664577662
1828;"FIFO";-0.944444444444444;3.43055555555556;6542.57481625447;6542.57481625447;6400;6685;6576.78147339702;6658.73993709114
1901;"FIFO";-0.944444444444444;3.52777777777778;6544.36373586363;6544.36373586363;6407;6684;6581.81976536358;6663.57317897103
1974;"FIFO";-0.944444444444444;3.625;6546.03174035302;6546.03174035302;6406;6687;6586.70500320194;6668.29380564178
2047;"FIFO";-0.944444444444444;3.72222222222222;6547.57873702706;6547.57873702706;6410;6688;6591.43899471537;6672.89942076428
2120;"FIFO";-0.944444444444444;3.81944444444444;6549.00463990083;6549.00463990083;6408;6689;6596.02338014824;6677.38781159639
2193;"FIFO";-0.944444444444444;3.91666666666667;6550.309369708;6550.309369708;6411;6690;6600.45962023031;6681.75696100743
2266;"FIFO";-0.944444444444444;4.01388888888889;6551.4928539082;6551.4928539082;6409;6692;6604.74898620007;6686.00505751146
2339;"FIFO";-0.944444444444444;4.11111111111111;6552.55502669376;6552.55502669376;6416;6693;6608.89255161867;6690.13050350878
2412;"FIFO";-0.944444444444444;4.20833333333333;6553.49582899575;6553.49582899575;6413;6692;6612.89118577847;6694.13192193087
